group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage
commons-beanutils,commons-beanutils,1.9.4,EVOSUITE,61.14,55.71,64.84,60.9,81.77,96.85
commons-cli,commons-cli,1.2,EVOSUITE,94.88,89.18,96.23,90.07,100,100
commons-codec,commons-codec,1.15,EVOSUITE,57.89,84.98,81.68,73.95,67.93,87.5
commons-collections,commons-collections,3.2.2,EVOSUITE,80.04,80.96,81.46,78.76,82.85,95.73
commons-digester,commons-digester,2.1,EVOSUITE,70.51,70.65,77.64,75.58,89.42,95.61
commons-fileupload,commons-fileupload,1.4,EVOSUITE,53.57,50.22,51.96,53.62,64.44,74.36
commons-lang,commons-lang,2.6,EVOSUITE,65.51,55.33,64.13,58.6,71.73,86.51
commons-logging,commons-logging,1.2,EVOSUITE,40.6,31.54,42.01,35.8,55.56,66.67
commons-net,commons-net,3.1,EVOSUITE,52.1,43.72,49.99,49.03,59.26,87.97
commons-pool,commons-pool,1.6,EVOSUITE,59.58,53.49,59.8,57.02,69.85,95.65
commons-validator,commons-validator,1.7,EVOSUITE,84.7,68.29,76.79,73.54,90.52,90.79
org.apache.commons,commons-collections4,4.4,EVOSUITE,39.45,38.26,41.79,38.22,42.75,69.77
org.apache.commons,commons-configuration2,2.1.1,EVOSUITE,59.66,53.35,61.81,56.99,67.46,85.03
org.apache.commons,commons-csv,1.8,EVOSUITE,21.13,6.84,17.43,12.05,26.67,46.67
org.apache.commons,commons-exec,1.3,EVOSUITE,79.6,75.6,79.27,77.57,90.58,93.33
org.apache.commons,commons-io,1.3.2,EVOSUITE,38.77,30.42,37.6,35.19,45.53,70.18
org.apache.commons,commons-jexl3,3.1,EVOSUITE,37.14,26.7,34.62,29.01,56.57,84.68
org.apache.commons,commons-lang3,3.12.0,EVOSUITE,53.62,42.23,51.45,47.99,61.98,92.83
org.apache.commons,commons-math3,3.6.1,EVOSUITE,68.8,58.44,63.65,62.85,74.85,85.77
org.apache.commons,commons-pool2,2.11.1,EVOSUITE,50.81,35.52,49.12,43.3,56.03,66.18
org.apache.commons,commons-text,1.10.0,EVOSUITE,56.84,45.83,56.94,49.13,58.07,81.25
org.jooq,jooq,3.14.16,EVOSUITE,18.07,18.58,22.47,16.25,17.49,53.03
org.json,json,20250517,EVOSUITE,35.18,28.34,36.9,28.53,47.06,92.31
org.jsoup,jsoup,1.15.3,EVOSUITE,51.1,36.53,45.06,41.22,60.77,87.24